Rank,Player,Team(s),First,Last,Count
1,Bill Russell *,BOS,1957,1969,11
2,Sam Jones *,BOS,1959,1969,10
3,John Havlicek *,BOS,1963,1976,8
,Tom Heinsohn *,BOS,1957,1965,8
,K.C. Jones *,BOS,1959,1966,8
,Tom Sanders *,BOS,1961,1969,8
7,Robert Horry,HOU / LAL / SAS,1994,2007,7
,Jim Loscutoff,BOS,1957,1964,7
,Frank Ramsey *,BOS,1957,1964,7
10,Kareem Abdul-Jabbar *,MIL / LAL,1971,1988,6
,Bob Cousy *,BOS,1957,1963,6
,Michael Jordan *,CHI,1991,1998,6
,Scottie Pippen *,CHI,1991,1998,6
14,Kobe Bryant *,LAL,2000,2010,5
,Michael Cooper,LAL,1980,1988,5
,Tim Duncan *,SAS,1999,2014,5
,Derek Fisher,LAL,2000,2010,5
,Ron Harper,CHI / LAL,1996,2001,5
,Magic Johnson *,LAL,1980,1988,5
,Steve Kerr,CHI / SAS,1996,2003,5
,Slater Martin *,MNL / STL,1950,1958,5
,George Mikan *,MNL,1949,1954,5
,Don Nelson *,BOS,1966,1976,5
,Jim Pollard *,MNL,1949,1954,5
,Dennis Rodman *,DET / CHI,1989,1998,5
,Larry Siegfried,BOS,1964,1969,5
27,Manu Ginóbili,SAS,2003,2014,4
,Horace Grant,CHI / LAL,1991,2001,4
,Gene Guarilia,BOS,1960,1963,4
,LeBron James,MIA / CLE / LAL,2012,2020,4
,Vern Mikkelsen *,MNL,1950,1954,4
,Shaquille O'Neal *,LAL / MIA,2000,2006,4
,Robert Parish *,BOS / CHI,1981,1997,4
,Tony Parker,SAS,2003,2014,4
,Will Perdue,CHI / SAS,1991,1999,4
,Kurt Rambis,LAL,1982,1988,4
,John Salley,DET / CHI / LAL,1989,2000,4
,Pep Saul,ROC / MNL,1951,1954,4
,Bill Sharman *,BOS,1957,1961,4
,Jamaal Wilkes *,GSW / LAL,1975,1985,4
41,B.J. Armstrong,CHI,1991,1993,3
,Larry Bird *,BOS,1981,1986,3
,Bruce Bowen,SAS,2003,2007,3
,Randy Brown,CHI,1996,1998,3
,Jud Buechler,CHI,1996,1998,3
,Bill Cartwright,CHI,1991,1993,3
,Sam Cassell,HOU / BOS,1994,2008,3
,Gene Conley,BOS,1959,1961,3
,Stephen Curry,GSW,2015,2018,3
,James Edwards,DET / CHI,1989,1996,3
,Mario Elie,HOU / SAS,1994,1999,3
,Rick Fox,LAL,2000,2002,3
,Devean George,LAL,2000,2002,3
,A.C. Green,LAL,1987,2000,3
,Danny Green,SAS / TOR / LAL,2014,2020,3
,Draymond Green,GSW,2015,2018,3
,Bob Harrison,MNL,1950,1953,3
,Udonis Haslem,MIA,2006,2013,3
,Gerald Henderson,BOS / DET,1981,1990,3
,Andre Iguodala,GSW,2015,2018,3
,Dennis Johnson *,SEA / BOS,1979,1986,3
,James Jones,MIA / CLE,2012,2016,3
,Stacey King,CHI,1991,1993,3
,Toni Kukoč *,CHI,1996,1998,3
,Shaun Livingston,GSW,2015,2018,3
,Luc Longley,CHI,1996,1998,3
,Clyde Lovellette *,MNL / BOS,1954,1964,3
,Patrick McCaw,GSW / TOR,2017,2019,3
,JaVale McGee,GSW / LAL,2017,2020,3
,Kevin McHale *,BOS,1981,1986,3
,Willie Naulls,BOS,1964,1966,3
,John Paxson,CHI,1991,1993,3
,Byron Scott,LAL,1985,1988,3
,Brian Shaw,LAL,2000,2002,3
,Paul Silas,BOS / SEA,1974,1979,3
,Dickey Simpkins,CHI,1996,1998,3
,Whitey Skoog,MNL,1952,1954,3
,Klay Thompson,GSW,2015,2018,3
,Dwyane Wade,MIA,2006,2013,3
,Bill Wennington,CHI,1996,1998,3
,Scott Williams,CHI,1991,1993,3
,James Worthy *,LAL,1985,1988,3
